ItemNum,ItemStem_Text,Answer__A,Answer__B,Answer__C,Answer__D,Answer__E,Answer__F,Answer__G,Answer__H,Answer__I,Answer__J,Answer_Key,Answer_Text,ItemType,EXAM,Difficulty,Response_Time
261,"A 40-year-old woman comes to the office because of a 2-month history of fatigue, and generalized aching and weakness of the proximal muscles of all four extremities. The patient initially noticed the weakness only while she was getting in and out of her car, but during the past 2 weeks, the weakness has progressed, so that she now has difficulty combing her hair. Since the symptoms began, she also has had aching of the joints in her hands that has responded partially to ibuprofen. She was adopted and family history is unknown. She has two teenaged children who are well. She appears uncomfortable. She is 170 cm (5 ft 7 in) tall and weighs 68 kg (150 lb); BMI is 24 kg/m2. Vital signs are temperature 37.7Ã‚Â°C (99.8Ã‚Â°F), pulse 90/min, respirations 20/min, and blood pressure 110/70 mm Hg. The patient is alert and fully oriented. Physical examination discloses cracking of the skin of both hands that involves the tips and lateral sides of several fingers. The muscles of the upper arms and legs are somewhat tender to pressure. Results of serum laboratory studies show a creatine kinase concentration of 600 U/L and a lactate dehydrogenase concentration of 800 U/L. Results of complete blood count are within the reference ranges. Which of the following is the most likely diagnosis?",Fibromyalgia,Myasthenia gravis,Polymyositis,Scleroderma,,,,,,,C,Polymyositis,Text,STEP 3,0.22,82.14
300,"A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy. Medical history is otherwise unremarkable and the patient takes no medications. Family history is significant for stable angina in her father and rheumatoid arthritis in her mother. The patient has a 102-year-old grandmother who resides in a nursing care facility and has Parkinson disease. The patient does not smoke cigarettes or drink alcoholic beverages. During the interview, her face is expressionless. She has a flexed posture and is unable to open her mouth wide. She is 173 cm (5 ft 8 in) tall and weighs 81 kg (179 lb); BMI is 27 kg/m2. Vital signs are normal. Physical examination discloses thickening and hardening of the skin over the dorsum of the hands and forearms, as well as mild kyphosis. Strength testing shows no abnormalities; muscle tension is normal. Passive and active range of motion of the upper extremities is full. Gait is slow and deliberate. The remainder of the physical examination discloses no abnormalities. Prior to surgery, further evaluation is indicated for which of the following conditions in this patient?",Osteitis deformans (Paget disease),Parkinson disease,Progressive supranuclear palsy,Sarcopenia,Systemic sclerosis (scleroderma),,,,,,E,Systemic sclerosis (scleroderma),Text,STEP 3,0.32,85.01
260,"A 55-year-old woman, gravida 1, para 1, comes to the office because she is concerned that she has continued to have regular menses while her friends of the same age have gone through menopause. She reports having her usual premenstrual breast tenderness and menstrual cramping. She has not had change in flow, intermenstrual spotting, hot flushes, or night sweats. Medical history is unremarkable. She takes no medications. She does not smoke cigarettes. She drinks one glass of wine each evening. Her last menstrual period occurred 3 weeks ago. Screening mammogram obtained 1 year ago and all previous Pap smears, including her most recent Pap smear 2 years ago, have shown no abnormalities. Her 50-year-old sister also has not gone through menopause. The patient does not exercise. She is 157 cm (5 ft 2 in) tall and weighs 80 kg (176 lb); BMI is 32 kg/m2. Vital signs are normal. Physical examination discloses adiposity of the abdomen. Pelvic examination discloses pink and rugose vaginal walls and a small uterus. The remainder of the physical examination discloses no abnormalities. Which of the following is the most appropriate next step to address the patient's continued menstruation?",Order fine-needle biopsy of the endometrium,Order pelvic ultrasonography,Order serum estradiol and follicle-stimulating hormone concentrations,Provide reassurance that she is simply still premenopausal,Recommend losing weight to help facilitate the onset of menopause,Recommend monthly leuprolide acetate injections for a 3-month duration,Refer the patient to an endocrinologist,,,,D,Provide reassurance that she is simply still premenopausal,Text,STEP 3,0.4,80.77
325,"A 32-year-old man comes to the physician because he has had difficulty focusing on tasks at work and at home during the past 2 months. He works as an automobile mechanic. He has had a lot of energy for work but often is distracted to the point that he does not complete assigned tasks. He frequently stops working on his own tasks to attempt to develop greater efficiency in his shop. He states that he is delighted with his newfound energy and reports that he now needs only 4 hours of sleep nightly. He has no history of psychiatric illness. He always performed well in school. He has a history of drinking alcohol excessively and using methamphetamines and cocaine during his 20s, but he has not consumed alcohol or used illicit drugs for the past 3 years. His temperature is 37Ã‚Â°C (98.6Ã‚Â°F), pulse is 60/min, and blood pressure is 125/80 mm Hg. Physical examination shows no abnormalities. On mental status examination, he describes his mood as ""good."" He has a labile affect. His speech is rapid in rate but normal in rhythm, and his thought process is organized. Short- and long-term memory are intact. Attention and concentration are fair; he makes no errors when performing serial sevens, and he can repeat seven digits forward and five in reverse sequence. He has had no delusions or hallucinations. Which of the following is the most likely diagnosis?",Antisocial personality disorder,Attention-deficit/hyperactivity disorder,Bipolar disorder,Borderline personality disorder,Major depressive disorder,,,,,,C,Bipolar disorder,Text,STEP 2,0.3,93.96
343,A 34-year-old woman with a 10-year history of hepatitis C comes to the physician because of progressive fatigue during the past month. Her vital signs are within normal limits. Physical examination shows that the liver is not palpable. Serum studies show: Albumin 3 g/dL Total bilirubin 1.8 mg/dL Alkaline phosphatase 115 U/L AST 53 U/L ALT 48 U/LA liver biopsy specimen shows focal areas of hepatocellular injury with infiltration of lymphocytes and early fibrosis. Which of the following mechanisms is the most likely cause of the ongoing hepatocyte injury in this patient?,Foreign peptides bound to class I MHC molecules are recognized by CD4+ T lymphocytes,Foreign peptides bound to class I MHC molecules are recognized by CD8+ T lymphocytes,Foreign peptides bound to class II MHC molecules are recognized by CD8+ T lymphocytes,Self-peptides bound to class I MHC molecules are recognized by CD8+ T lymphocytes,Self-peptides bound to class II MHC molecules are recognized by CD4+ T lymphocytes,,,,,,B,Foreign peptides bound to class I MHC molecules are recognized by CD8+ T lymphocytes,Text,STEP 1,0.36,96.06
346,"A 65-year-old woman comes to the physician for a follow-up examination after blood pressure measurements were 175/105 mm Hg and 185/110 mm Hg 1 and 3 weeks ago, respectively. She has well-controlled type 2 diabetes mellitus. Her blood pressure now is 175/110 mm Hg. Physical examination shows no other abnormalities. Antihypertensive therapy is started, but her blood pressure remains elevated at her next visit 3 weeks later. Laboratory studies show increased plasma renin activity; the erythrocyte sedimentation rate and serum electrolytes are within the reference ranges. Angiography shows a high-grade stenosis of the proximal right renal artery; the left renal artery appears normal. Which of the following is the most likely diagnosis?",Atherosclerosis,Congenital renal artery hypoplasia,Fibromuscular dysplasia,Takayasu arteritis,Temporal arteritis,,,,,,A,Atherosclerosis,Text,STEP 1,0.6,87.78
353,"A 24-year-old woman, gravida 1, para 1, comes to the office because she and her husband have been trying to conceive for the past year without success. She gave birth to her first child at age 18 years by cesarean delivery following fetal distress. She then developed postpartum endometritis that resolved with intravenous antibiotic therapy. She used an intrauterine device (IUD) for 1 year following her first pregnancy but had the device removed because of intermenstrual bleeding. Medical history is also remarkable for chlamydial cervicitis treated with antibiotic therapy as an outpatient at age 21 years, and recurrent bacterial vaginosis that had been treated with metronidazole therapy during her pregnancy and on two other occasions. Vital signs today are within normal limits. Breast and pelvic examinations disclose no abnormalities. Hysterosalpingography shows bilateral hydrosalpinx. Which of the following factors in this patient's history most increased her risk for development of her condition?",Bacterial vaginosis,Cesarean delivery,Chlamydial cervicitis,Postpartum endometritis,Use of an IUD,,,,,,C,Chlamydial cervicitis,Text,STEP 3,0.6,74.76
534,"A 10-day-old female newborn is brought to the emergency department because of a 2-day history of bilious vomiting. She was born at term following an uncomplicated pregnancy and spontaneous vaginal delivery. She was 50.8 cm (20 in) in length and weighed 3260 g (7 lb 3 oz) at birth. Examination following delivery showed no abnormalities, and she was discharged at the age of 2 days. She is exclusively breast-fed. She appears ill. Today, she is 50.8 cm (20 in) in length and weighs 3062 g (6 lb 12 oz). Temperature is 38.3Ã‚Â°C (100.9Ã‚Â°F), pulse is 180/min, and respirations are 52/min. The abdomen is distended; the patient cries on palpation of the abdomen. Which of the following is the most likely diagnosis?",Duodenal atresia,Intussusception,Meconium ileus,Necrotizing enterocolitis,Volvulus,,,,,,E,Volvulus,Text,STEP 2,0.62,98.63
538,"A 35-year-old woman is brought to the emergency department by police after they found her wandering the streets and appearing intoxicated. On arrival, she is tremulous and appears distressed. She says she moved out of her abusive boyfriendÃ¢â‚¬â„¢s apartment 1 week ago because she was afraid he would kill her. She has no financial or emotional family support. She worked at a grocery store until 1 month ago when she was fired for missing four shifts during the course of 1 week. During the past week, she has slept less than 4 hours nightly because she has slept on the streets or in shelters. She has panic disorder treated with fluoxetine. She takes no other medications. Ten years ago, she underwent 6 months of psychotherapy for dependent personality disorder. During the past year, she has drunk four or more glasses of wine and other alcoholic beverages nightly. She tried to quit drinking alcohol twice during the past year but was unsuccessful. Her last alcoholic drink was 24 hours ago. Pulse is 90/min and blood pressure is 140/90 mm Hg. Physical examination shows resting hand tremors and delayed reflexes. Mental status examination shows slurred speech. She has an irritable mood and anxious affect. Blood alcohol concentration is 140 mg/dL. Which of the following is the strongest predisposing risk factor for suicide in this patient?",Adjustment disorder with depressed mood,Alcohol use disorder,Dependent personality disorder,History of physical abuse,Panic disorder,,,,,,B,Alcohol use disorder,Text,STEP 2,0.82,83.16
357,"A 29-year-old woman is prescribed carbamazepine for trigeminal neuralgia. She has a strong family history of osteoporosis. As a result, the physician also advises her to increase her intake of vitamin D. The most likely reason for this recommendation is that carbamazepine may affect which of the following pharmacokinetic processes?",Absorption,Distribution,Excretion,Metabolism,Protein binding,,,,,,D,Metabolism,Text,STEP 1,0.54,70.21
603,"A 64-year-old man comes to the clinic because of a 2-week history of severe pain and generalized muscle weakness. He has hypercholesteremia and hypertension. Three months ago, he had a myocardial infarction. At that time, he began atorvastatin therapy. Other medications are clopidogrel, lisinopril, and amiodarone. He is 178Ã‚Â cm (5Ã‚Â ft 10Ã‚Â in) tall and weighs 82Ã‚Â kg (180Ã‚Â lb); BMI is 26Ã‚Â kg/m2. Pulse is 80/min and blood pressure is 125/67Ã‚Â mmÃ‚Â Hg. Muscle strength is 4/5 on abduction of the shoulders and flexion of the hips. Deep tendon reflexes are 2+ throughout. No other abnormalities are noted. Measurement of which of the following is the most appropriate initial step in diagnosis?",Erythrocyte sedimentation rate,Serum ALT activity,Serum calcium concentration,Serum C-reactive protein concentration,Serum creatine kinase activity,,,,,,E,Serum creatine kinase activity,Text,STEP 2,0.16,66.85
230,"A 20-year-old woman comes to the office because of a 2-day history of nasal congestion, runny nose, and nonproductive cough that has made it difficult for her to sleep. She has not had fever. Her brother with whom she resides also has similar symptoms. The patient's medical history is significant for mild persistent asthma for which she takes inhaled fluticasone-salmeterol twice daily and albuterol as needed. She has been using her albuterol more frequently during the past 2 days without much effect. During this time, her peak expiratory flow rates have been 70% to 80% of her baseline. Vital signs today are temperature 37.2Ã‚Â°C (99.0Ã‚Â°F), pulse 70/min, respirations 20/min, and blood pressure 110/70 mm Hg. Physical examination discloses inflamed nasal mucosa with clear discharge. The posterior oral pharynx is erythematous. Auscultation of the lungs discloses rare expiratory wheezes. Which of the following is the most appropriate pharmacotherapy for this patient's cough?",Codeine,Diphenhydramine,Guaifenesin,Ipratropium bromide,Prednisone,,,,,,E,Prednisone,Text,STEP 3,1.26,89.73
613,"A 50-year-old man returns to the office for a follow-up examination. During the past 2 months, he has had increased blood pressure readings during several checks at the office and at home. He says he has felt well. He has major depressive disorder and gout. Medications are fluoxetine and allopurinol. His maternal grandfather had congestive heart failure and the patient's older brother has hypertension. The patient has smoked one-half pack of cigarettes daily for 32Ã‚Â years. He is 180Ã‚Â cm (5Ã‚Â ftÃ‚Â 11Ã‚Â in) tall and weighs 95Ã‚Â kg (210Ã‚Â lb); BMI is 29Ã‚Â kg/m2. Pulse is 70/min and blood pressure is 152/90Ã‚Â mmÃ‚Â Hg. Physical examination discloses no abnormalities. Which of the following medications is contraindicated in this patient?",Amlodipine,Doxazosin,Hydrochlorothiazide,Lisinopril,Metoprolol,,,,,,C,Hydrochlorothiazide,Text,STEP 2,0.32,83.97
608,"A 5-year-old boy is brought to the emergency department by his mother because of an episode of bloody stool 3Ã‚Â hours ago. The mother says the stool was hard ""like pebbles"" and she noted bright red blood on the tissue when the patient cleaned himself. His previous bowel movement was 5Ã‚Â days ago. The patient has no abdominal or rectal pain now, but he did have abdominal pain during his bowel movement 5Ã‚Â days ago. He has no history of major medical illness and receives no medications. Vaccinations are up-to-date. The patient has no recent history of travel. He is at the 5thÃ‚Â percentile for height and the 10thÃ‚Â percentile for weight; BMI is at the 50thÃ‚Â percentile. Vital signs are within normal limits. Abdominal examination shows hypoactive bowel sounds and a soft, slightly distended abdomen that is not tender to palpation. Rectal examination shows 1Ã‚Â cm of bright red rectal mucosa protruding from the right side of the anus; there is no rectal bleeding. The remainder of the examination shows no abnormalities. Which of the following is the most likely cause of this patient's physical findings?",Constipation,Cystic fibrosis,Hirschsprung disease,Hookworm infestation,Intussusception,,,,,,A,Constipation,Text,STEP 1,0.56,127.96
621,"A 2-year-old boy is brought to the office by his mother because of a 1-day history of severe pain, swelling, and redness of his left thumb. The mother does not recall any trauma to the area. She says he has been eating poorly during this period, but otherwise he has been behaving normally. He has no history of major medical illness and receives no medications. He appears tearful. He is at the 90th percentile for length and 80th percentile for weight. His temperature is 37.7Ã‚Â°C (99.8Ã‚Â°F), pulse is 100/min, respirations are 20/min, and blood pressure is 100/50 mm Hg. Physical examination shows an oral vesicle, cervical lymphadenopathy, and the findings in the photograph. Which of the following types of infectious agents is the most likely cause of the findings in this patientÃ¢â‚¬â„¢s finger?",DNA virus,Gram-negative bacterium,Gram-positive bacterium,RNA virus,Yeast,,,,,,A,DNA virus,PIX,STEP 1,0.56,87.72
419,"A 3-week-old male infant is brought to the office by his mother because of a 2-day history of white lesions in the mouth. The infant was born at term via uncomplicated spontaneous vaginal delivery; he has been breast-feeding well and is urinating and having bowel movements normally. At birth, he weighed 3289Ã‚Â g (7Ã‚Â lbÃ‚Â 4Ã‚Â oz; 30thÃ‚Â percentile). Today, he weighs 3629Ã‚Â kg (8Ã‚Â lb; 25thÃ‚Â percentile). He appears adequately hydrated. Vital signs are normal. Physical examination discloses white patches on the tongue and buccal mucosa that do not come off when gently scraped with a tongue blade. Which of the following is the most appropriate pharmacotherapy?",Acyclovir,Fluconazole,Nystatin,Valacyclovir,No pharmacotherapy is necessary,,,,,,C,Nystatin,Text,STEP 3,1.06,57.62
587,A 32-year-old man comes to the office because of a 2-day history of redness of the right eye. He has not had sensitivity to light or the sensation of a foreign body in the eye. He has no history of serious illness and takes no medications. Examination of the right eye shows erythema and clear discharge. Examination of the left eye shows no abnormalities. The physician prescribes ketorolac ophthalmic solution. Which of the following is the most appropriate way for the physician to write the prescription?,"Ketorolac 0.5% solution, 1 drop in right eye, four times daily","Ketorolac .5% solution, 1 drop in right eye QID","Ketorolac 0.5% solution, 1 drop OD four times daily","Ketorolac 0.5% solution, 1 drop OD, QID",,,,,,,A,"Ketorolac 0.5% solution, 1 drop in right eye, four times daily",Text,STEP 2,0.2,52.51
629,"A 25-year-old woman is brought to the emergency department by paramedics because of a seizure that began 45 minutes ago at home. Intravenous antiepileptic therapy begun en route to the hospital has not stopped her seizure. Her parents report that she initially began crying, then fell to the floor and exhibited asymmetric kicking and thrashing of all extremities. Fifteen years ago, she was diagnosed with a seizure disorder. Her seizures had been well controlled with oral antiepileptic therapy until this morning. Today, while the physician is in the patientÃ¢â‚¬â„¢s room, the movements of her extremities gradually subside. The patient then sits up and asks the physician what happened. She is fully oriented. Vital signs are within normal limits. Examination shows no evidence of tongue biting, urinary incontinence, or other abnormalities. Which of the following is most likely to confirm this patientÃ¢â‚¬â„¢s diagnosis?",Interview following amobarbital administration,Measurement of serum antiepileptic concentration,Measurement of serum creatine kinase activity,Neuropsychological testing,Video EEG monitoring,,,,,,E,Video EEG monitoring,Text,STEP 2,1.12,80.94
291,"A 12-year-old girl is brought to the physician because of a 2-month history of intermittent yellowing of the eyes and skin. Physical examination shows no abnormalities except for jaundice. Her serum total bilirubin concentration is 3 mg/dL, with a direct component of 1 mg/dL. Serum studies show a haptoglobin concentration and AST and ALT activities that are within the reference ranges. There is no evidence of injury or exposure to toxins. Which of the following additional findings is most likely in this patient?",Decreased activity of UDP glucuronosyltransferase,Gallstones,Increased hemolysis,Increased serum alkaline phosphatase activity,Ineffective erythropoiesis,,,,,,A,Decreased activity of UDP glucuronosyltransferase,Text,STEP 1,0.52,103.78
400,"A 25-year-old man comes to the office because he has had a ""coating"" on his tongue during the past 2Ã‚Â weeks and has had an unintentional 4.5-kg (10-lb) weight loss during the past 6Ã‚Â months. He has not had oral pain or difficulty swallowing. Medical history is unremarkable and he takes no medications. He has smoked one pack of cigarettes daily for the past 5Ã‚Â years and he drinks two to three beers weekly. He is sexually active with two male partners and does not consistently use condoms. BMI is 25Ã‚Â kg/m2. Vital signs are temperature 37.1Ã‚Â°C (98.8Ã‚Â°F), pulse 83/min, respirations 16/min, and blood pressure 114/74Ã‚Â mmÃ‚Â Hg. Oral examination shows a white plaque on the lateral aspect of the tongue bilaterally; an attempt to scrape the lesion from the tongue is unsuccessful. Anterior and posterior cervical lymph nodes are enlarged bilaterally but are mobile and not tender to palpation. The remainder of the physical examination discloses no abnormalities. A rapid HIV test is positive. Results of other laboratory studies are shown: Blood Ã‚Â Ã¢â‚¬Æ’CD4+ T-lymphocyte count 128/mm3 Ã¢â‚¬Æ’Hematocrit 36% Ã¢â‚¬Æ’Hemoglobin 12.0 g/dL Ã¢â‚¬Æ’WBC 1400/mm3 Ã¢â‚¬Æ’Ã¢â‚¬Æ’Neutrophils, segmented 79% Ã¢â‚¬Æ’Ã¢â‚¬Æ’Eosinophils 3% Ã¢â‚¬Æ’Ã¢â‚¬Æ’Lymphocytes 11% Ã¢â‚¬Æ’Ã¢â‚¬Æ’Monocytes 7% Ã¢â‚¬Æ’Platelet count 124,000/mm3Which is of the following is the most appropriate clinical intervention at this time?",Antiretroviral therapy,Liquid nitrogen therapy applied to the tongue lesions,Micafungin therapy,Surgical excision of the tongue lesions,Systemic chemotherapy with liposomal doxorubicin,,,,,,A,Antiretroviral therapy,Text,STEP 3,0.1,70.95
547,"A 50-year-old man comes to the office because of a 2-month history of increasing daytime somnolence. He has obstructive sleep apnea for which he has only intermittently used a continuous positive airway pressure device. He is 170 cm (5 ft 7 in) tall and weighs 181 kg (400 lb); BMI is 63 kg/m2. His temperature is 37Ã‚Â°C (98.6Ã‚Â°F), pulse is 100/min, respirations are 12/min, and blood pressure is 135/80 mm Hg. Physical examination shows a gray-blue tinge to the lips, earlobes, and nail beds. Cardiac examination shows no other abnormalities. Arterial blood gas analysis on room air shows a pH of 7.31, Pco2 of 70 mm Hg, and Po2 of 50 mm Hg. Which of the following additional findings would be most likely in this patient?",Decreased serum bicarbonate concentration,Increased hemoglobin concentration,Increased total lung capacity,Left ventricular hypertrophy,,,,,,,B,Increased hemoglobin concentration,Text,STEP 1,0.36,107.04
338,"A 25-year-old man was admitted to the hospital yesterday with a massive hemothorax sustained as a result of a stab wound. Left lateral thoracotomy was done because more than 2Ã‚Â L of blood returned following chest tube placement. The thoracotomy disclosed a bleeding intercostal vessel that was repaired by suture ligation. Vital signs now are temperature 36.0Ã‚Â°C (96.8Ã‚Â°F), pulse 100/min, respirations 18/min, and blood pressure 120/78Ã‚Â mmÃ‚Â Hg. Pulse oximetry on 5Ã‚Â L/min of oxygen via nasal cannula shows an oxygen saturation of 95%. Physical examination discloses a well-approximated staple line at the incision site and mild erythema. Decreased respiratory excursion is noted on the left side. The chest tube is draining a small amount of serosanguineous fluid; no air leak is noted. Which of the following is the most appropriate next step in management?",Administration of broad-spectrum antibiotics,Initiation of tube feedings,Pain reduction,Physical therapy,Psychological evaluation for post-traumatic stress disorder,,,,,,C,Pain reduction,Text,STEP 3,0.32,79.91
127,"Three days after hospitalization for diabetic ketoacidosis, an 87-year-old woman refuses insulin injections. She says that her medical condition has declined so much that she no longer wishes to go on living; she is nearly blind and will likely require bilateral leg amputations. She reports that she has always been an active person and does not see how her life will be of value anymore. She has no family and most of her friends are sick or deceased. On mental status examination, she is alert and cooperative. She accurately describes her medical history and understands the consequences of refusing insulin. There is no evidence of depression. She dismisses any attempts by the physician to change her mind, saying that the physician is too young to understand her situation. She says, ""I know I will die, and this is what I want."" Which of the following is the most appropriate next step in management?","Discharge the patient after she has signed an ""against medical advice"" form",Seek a court order to appoint a legal guardian,Offer insulin but allow the patient to refuse it,Admit to the psychiatric unit,Administer insulin against the patient's wishes,,,,,,C,Offer insulin but allow the patient to refuse it,Text,STEP 2,0.42,74.08
279,"A 32-year-old woman comes to the emergency department because of a 3-day history of fatigue and postural light-headedness. She also reports nausea with one episode of vomiting this morning and adds that her stools and urine have been darker than usual lately. Medical history is significant for stage III-B Hodgkin lymphoma. She started the first cycle of chemotherapy 8 days ago. Additional medications include ferrous gluconate, hydrocodone, and prochlorperazine. She is currently receiving 0.9% saline at 75 mL/hr. Vital signs today are temperature 37.5Ã‚Â°C (99.5Ã‚Â°F), pulse 76/min supine and 80/min standing, respirations 16/min, and blood pressure 125/65 mm Hg supine and 120/60 mm Hg standing. Pulse oximetry on room air shows an oxygen saturation of 94%. Lungs are clear to auscultation. Cardiac examination discloses a soft systolic murmur at the left upper sternal border. There is no hepatosplenomegaly or tenderness on abdominal examination. Rectal examination discloses no masses. Stool is black and test for occult blood is negative. Results of laboratory studies are shown: Blood Urine Ã¢â‚¬Æ’Hematocrit 24% Ã¢â‚¬Æ’Specific gravity 1.032 (N=1.010Ã¢â‚¬â€œ1.025) Ã¢â‚¬Æ’WBC 2400/mm3 Ã¢â‚¬Æ’Bilirubin Negative Ã¢â‚¬Æ’Platelet count 78,000/mm3 Ã¢â‚¬Æ’RBC NegativeWhich of the following is the most likely explanation for the patient's current condition?",Adverse effect of medications,Bone marrow metastases,Gastrointestinal blood loss,Hemodilution,Hemolytic anemia,,,,,,A,Adverse effect of medications,Text,STEP 3,0.26,119.52
314,"A 74-year-old man with mild chronic obstructive pulmonary disease comes to the physician for a follow-up examination. Current medications include a short-acting ÃŽÂ²2-adrenergic agonist by metered-dose inhaler as needed. Physical examination shows no abnormalities. At the end of the examination, he tells the physician, ""I enjoy coming to see you because you remind me of my daughter. She died 35 years ago this month."" He has been a patient of this physician for 5 years. Which of the following is the most appropriate response by the physician?","""I may have to refer you to another physician who doesn't remind you of your daughter so you can focus more on your medical condition and its treatment.""","""I'd like to refer you to a grief counselor so that you can work out your unresolved feelings about your daughter's death.""","""I'm sorry you lost your daughter. Unfortunately, since we only have a limited amount of time, we must now move on to your medical condition.""","""That makes me feel a little uncomfortable. I hope you understand.""","""You must miss your daughter very much. Tell me about her.""",,,,,,E,"""You must miss your daughter very much. Tell me about her.""",Text,STEP 1,0.16,66.39
14,"A 52-year-old woman has had dyspnea and hemoptysis for 1 month. She has a history of rheumatic fever as a child and has had a cardiac murmur since early adulthood. Her temperature is 36.7Ã‚Â°C (98Ã‚Â°F), pulse is 130/min and irregularly irregular, respirations are 20/min, and blood pressure is 98/60 mm Hg. Jugular venous pressure is not increased. Bilateral crackles are heard at the lung bases. There is an opening snap followed by a low-pitched diastolic murmur at the third left intercostal space. An x-ray of the chest shows left atrial enlargement, a straight left cardiac border, and pulmonary venous engorgement. Which of the following is the most likely explanation for these findings?",Aortic valve insufficiency,Aortic valve stenosis,Mitral valve insufficiency,Mitral valve stenosis,Tricuspid valve insufficiency,,,,,,D,Mitral valve stenosis,Text,STEP 2,0.24,79.44
283,"A 47-year-old man is brought to the emergency department 30 minutes after the onset of blurred vision, difficulty breathing, vomiting, diarrhea, muscle weakness, and fatigue. He is a farmer, and the symptoms began shortly after he spilled an agricultural chemical on his clothes. His pulse is 30/min, and blood pressure is 90/60 mm Hg. Cheyne-Stokes respirations are labored with wheezing and gurgling. Further evaluation shows moderate dehydration, hypoxemia, and hypercapnia. Which of the following is the most appropriate immediate pharmacotherapy for this patient?",Atropine,Bethanechol,Epinephrine,Isoproterenol,Physostigmine,,,,,,A,Atropine,Text,STEP 1,0.42,77.23
93,"A 45-year-old woman comes to the office because of a 3-day history of nasal congestion, headache, sore throat, and general malaise. She has developed a cough during the past 24 hours that is mildly productive of clear sputum. Except for occasional seasonal allergies, she has no previous history of medical problems. She takes no medications on a regular basis but during the past 3 days she has been taking an over-the-counter oral cold medication. She follows a strict low-fat vegetarian diet and she drinks three to four glasses of wine per week. She jogs 3 miles a day when she is not sick. Vital signs today are temperature 37.5Ã‚Â°C (99.5Ã‚Â°F), pulse 90/min, and blood pressure 140/94 mm Hg. Height is 170 cm (5 ft 7 in); weight is 54 kg (120 lb); BMI is 19 kg/m2. On physical examination she appears slightly anxious. Nasal mucosa is erythematous and swollen, and sinuses are nontender. Posterior pharynx is also erythematous but there are no exudates. Lungs are clear on auscultation and cardiac examination is normal. Repeat blood pressure measurement at the end of the examination is 142/96 mm Hg in the left arm and 138/94 mm Hg in the right arm. Which of the following is the most likely cause of her elevated blood pressure?",Acute viral illness,Chronic sinusitis,Essential hypertension,Her alcohol intake,Over-the-counter cold medication,,,,,,E,Over-the-counter cold medication,Text,STEP 3,0.22,77.42
599,"A 15-year-old girl is brought to the rehabilitation facility for physical therapy. Two months ago, she was involved in a motor vehicle collision in which she sustained a crush injury to the ulnar nerve at the right elbow. Neurologic examination shows severe weakness and atrophy of the intrinsic muscles of the right hand. When the patient is asked to grasp the therapistÃ¢â‚¬â„¢s fingers, right handgrip is noticeably weaker than left handgrip. Sensation to pinprick and fine touch is decreased at the palmar aspect of the ring and small fingers of the right hand. No other deficits are noted. Which of the following cell types is critical for recovery of neurologic function in this patient?",Astrocytes,Oligodendrocytes,Satellite cells,Schwann cells,Tanycytes,,,,,,D,Schwann cells,Text,STEP 1,0.34,56.28
193,"A technician wants to determine whether cytomegalovirus (CMV) DNA is present in the blood of a bone marrow transplant recipient. DNA purified from the leukocytes of the patient is reacted in a mixture containing oligonucleotides specific for CMV DNA, thermostable DNA polymerase, and nucleotides. Repetitive cycles of heating and cooling are performed, and the reaction product is detected by gel electrophoresis. The technician most likely used which of the following laboratory procedures on this patient's blood?",Northern blotting,Polymerase chain reaction,Reverse transcription,Southern blotting,Western blotting,,,,,,B,Polymerase chain reaction,Text,STEP 1,0.3,53.27
301,"A 25-year-old man comes to the emergency department because he developed chest pain and shortness of breath 1 hour ago, shortly after snorting cocaine for the first time. He rates the chest pain as a 7 on a 10-point scale and notes that the pain is radiating down his left arm. Medical history is unremarkable and the patient takes no medications or any other illicit drugs. He is 178 cm (5Ã‚Â ft 10Ã‚Â in) tall and weighs 70Ã‚Â kg (154Ã‚Â lb); BMI is 22 kg/m2. The patient is diaphoretic. Vital signs are temperature 37.5Ã‚Â°C (99.5Ã‚Â°F), pulse 110/min, respirations 16/min, and blood pressure 200/100 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 95%. Pupils are equal, round, and reactive to light and accommodation. Lungs are clear to auscultation and percussion. Auscultation of the heart discloses an audible S1 and S2. There is no edema, cyanosis, or clubbing of the digits. The patient is fully oriented. He is treated with supplemental oxygen, a 325-mg aspirin tablet, and intravenous nitroglycerin and lorazepam. Despite therapy, he continues to have chest pain and shortness of breath. ECG shows sinus tachycardia with no ST-segment or T-wave abnormalities. Which of the following is the most appropriate additional pharmacotherapy to initiate at this time?",Carvedilol,Furosemide,Metoprolol,Phentolamine,Streptokinase,,,,,,D,Phentolamine,Text,STEP 3,0.94,73.7
